customer_id,DistinctItems,DistinctLocations,NetSpend,DistinctCity,DistinctState,customer_contact_acquisition_date,household_has_dillards_credit_card,unsubscribed_yn,total_email_sent_count,total_email_open_count,total_email_click_count,product_email_sent_count,product_email_open_count,product_email_click_count,sale_email_sent_count,sale_email_open_count,sale_email_click_count,last_email_open_date,last_email_click_date
226027114,1,1,395,1,1,5/21/2018,N,Y,33,2,0,28,1,0,2,0,0,6/14/2018,NULL
226127903,5,1,392.99,1,1,6/2/2018,N,Y,32,32,1,28,28,1,2,2,0,7/1/2018,6/15/2018
192563078,2,1,367,1,1,2/10/2011,N,Y,32,18,0,28,16,0,2,1,0,6/29/2018,NULL
120506888,3,2,337.59,2,2,4/26/1996,N,Y,32,1,0,28,1,0,2,0,0,7/1/2018,NULL
222810260,9,1,323.63,1,1,7/27/2017,N,Y,30,7,0,28,6,0,2,1,0,7/2/2018,NULL
207808238,6,1,199,1,1,5/1/2014,N,N,34,1,0,28,1,0,2,0,0,5/19/2018,NULL
225835321,1,1,148,1,1,5/3/2018,N,Y,32,3,0,28,3,0,2,0,0,6/13/2018,NULL
224859327,2,1,135.7,1,1,1/24/2018,N,Y,31,0,0,28,0,0,2,0,0,NULL,NULL
223036752,2,1,105.7,1,1,8/14/2017,N,N,32,0,0,28,0,0,2,0,0,NULL,NULL
224676885,4,1,94.79,1,1,1/2/2018,N,N,30,2,0,28,1,0,2,1,0,6/30/2018,NULL
225964434,1,1,89,1,1,5/14/2018,N,Y,35,8,2,28,7,2,2,0,0,6/26/2018,6/8/2018
225872254,3,1,62.5,1,1,5/6/2018,N,Y,32,4,1,28,3,1,2,1,0,6/30/2018,6/7/2018
214390067,1,1,56.28,1,1,8/15/2015,N,N,31,3,2,28,3,2,2,0,0,6/22/2018,6/22/2018
225831888,1,1,50.75,1,1,5/2/2018,N,Y,32,1,0,28,1,0,2,0,0,6/15/2018,NULL
219115923,1,1,13.65,1,1,8/2/2016,N,N,34,2,1,28,1,1,2,0,0,6/28/2018,6/28/2018
217505297,24,2,524.68,2,2,3/17/2016,N,N,36,15,0,29,12,0,2,0,0,6/30/2018,NULL
188551953,6,2,355.09,2,1,11/19/2009,N,Y,35,4,0,29,4,0,2,0,0,6/29/2018,NULL
187538554,2,2,278.1,2,2,7/9/2009,N,Y,35,11,0,29,10,0,2,1,0,7/2/2018,NULL
220277013,3,2,191.9,2,2,11/25/2016,N,Y,36,4,0,29,2,0,2,2,0,6/30/2018,NULL
